,id,slug,path,scraped
48,6327300,call-mountains-evergreen-med-by-nouveau_bohemian,/en/fabric/6327300-call-mountains-evergreen-med-by-nouveau_bohemian,1
49,6590171,mermaid-scales-by-elladorine,/en/fabric/6590171-mermaid-scales-by-elladorine,0
50,1577333,marine-marpat-digital-woodland-camo-by-ricraynor,/en/fabric/1577333-marine-marpat-digital-woodland-camo-by-ricraynor,0
51,7661255,just-jellies-jellyfish-by-katerhees,/en/fabric/7661255-just-jellies-jellyfish-by-katerhees,0
52,3840217,nurse-theme-by-hot4tees_bg-yahoo_com,/en/fabric/3840217-nurse-theme-by-hot4tees_bg-yahoo_com,0
53,4995555,heart-health-awareness-light-gray-large-by-ohdarkthirty,/en/fabric/4995555-heart-health-awareness-light-gray-large-by-ohdarkthirty,1
54,5033660,80s-accessories-by-diannemehta,/en/fabric/5033660-80s-accessories-by-diannemehta,1
55,4534585,super-words-dark-by-robyriker,/en/fabric/4534585-super-words-dark-by-robyriker,1
56,1096407,skull-wall-by-ben_goetting,/en/fabric/1096407-skull-wall-by-ben_goetting,0
57,7662668,mermaid-music-by-ceciliamok,/en/fabric/7662668-mermaid-music-by-ceciliamok,1
58,7236018,australian-native-eucalyptus-leaves-edition-1-australiana-fabric-wallpaper-by-erin__kendal,/en/fabric/7236018-australian-native-eucalyptus-leaves-edition-1-australiana-fabric-wallpaper-by-erin__kendal,1
59,5964319,hearts-on-grey-linen-valentines-day-by-littlearrowdesign,/en/fabric/5964319-hearts-on-grey-linen-valentines-day-by-littlearrowdesign,0
60,7698482,scrubs-dr-stetho-scope-by-adrianne_vanalstine,/en/fabric/7698482-scrubs-dr-stetho-scope-by-adrianne_vanalstine,0
61,5514018,hair-cutting-shears-by-cloudycapevintage,/en/fabric/5514018-hair-cutting-shears-by-cloudycapevintage,1
62,6812243,cute-kawaii-sushi-small-size-by-penguinhouse,/en/fabric/6812243-cute-kawaii-sushi-small-size-by-penguinhouse,0
63,6715163,8-wild-heart-florals-white-by-shopcabin,/en/fabric/6715163-8-wild-heart-florals-white-by-shopcabin,0
64,1112778,rosie-riveter-by-spacefem,/en/fabric/1112778-rosie-riveter-by-spacefem,0
65,991112,nursing-coordinates-by-bluevelvet,/en/fabric/991112-nursing-coordinates-by-bluevelvet,1
66,2920223,m81-woodland-camo-by-ricraynor,/en/fabric/2920223-m81-woodland-camo-by-ricraynor,0
67,4830872,cherry-blossom-watercolor-cherry-blossom-floral-by-magentarosedesigns,/en/fabric/4830872-cherry-blossom-watercolor-cherry-blossom-floral-by-magentarosedesigns,1
68,5839396,spectacular-cats-by-cynthia_arre,/en/fabric/5839396-spectacular-cats-by-cynthia_arre,1
69,6782514,eame-s-wildflower-meadow-by-hipkiddesigns,/en/fabric/6782514-eame-s-wildflower-meadow-by-hipkiddesigns,0
70,7587085,heres-heart-navy-white-gold2-sketch-1-by-doodleandcharm_,/en/fabric/7587085-heres-heart-navy-white-gold2-sketch-1-by-doodleandcharm_,0
71,509390,spoonflower-color-map-by-spoonflower_help,/en/fabric/509390-spoonflower-color-map-by-spoonflower_help,0
72,7137786,genevieve-floral-by-crystal_walen,/en/fabric/7137786-genevieve-floral-by-crystal_walen,1
73,3584004,mexican-sugar-skulls-small-by-lusykoror,/en/fabric/3584004-mexican-sugar-skulls-small-by-lusykoror,1
74,5048115,mexican-blanket-by-anchored_by_love,/en/fabric/5048115-mexican-blanket-by-anchored_by_love,1
75,8619105,flight-feathers-painted-by-xoxotique,/en/fabric/8619105-flight-feathers-painted-by-xoxotique,1
76,5312944,thank-being-friend-small-by-elladorine,/en/fabric/5312944-thank-being-friend-small-by-elladorine,0
77,8286001,hanging-out-by-sarah_knight,/en/fabric/8286001-hanging-out-by-sarah_knight,0
