id,slug,path,scraped
7984649,8-love-care-medical-black-by-rebelmod,/en/fabric/7984649-8-love-care-medical-black-by-rebelmod,0
8286001,hanging-out-by-sarah_knight,/en/fabric/8286001-hanging-out-by-sarah_knight,0
7685381,dragon-fire-by-adenaj,/en/fabric/7685381-dragon-fire-by-adenaj,0
7236018,australian-native-eucalyptus-leaves-edition-1-australiana-fabric-wallpaper-by-erin__kendal,/en/fabric/7236018-australian-native-eucalyptus-leaves-edition-1-australiana-fabric-wallpaper-by-erin__kendal,0
5939834,classic-leopard-by-cinneworthington,/en/fabric/5939834-classic-leopard-by-cinneworthington,0
3584004,mexican-sugar-skulls-small-by-lusykoror,/en/fabric/3584004-mexican-sugar-skulls-small-by-lusykoror,0
6178734,fable-floral-blush-med-by-nouveau_bohemian,/en/fabric/6178734-fable-floral-blush-med-by-nouveau_bohemian,0
1096407,skull-wall-by-ben_goetting,/en/fabric/1096407-skull-wall-by-ben_goetting,0
9060289,saints-fleur-de-lis-new-orleans-saints-football-football-fabric-fleur-de-lis-fabric-black-gold-gold-f-by-charlottewinter,/en/fabric/9060289-saints-fleur-de-lis-new-orleans-saints-football-football-fabric-fleur-de-lis-fabric-black-gold-gold-f-by-charlottewinter,0
8056679,ruth-bader-ginsgurg-rbg-bust-black-by-katerhees,/en/fabric/8056679-ruth-bader-ginsgurg-rbg-bust-black-by-katerhees,0
7522587,save-honey-bees-large-new-by-fernlesliestudio,/en/fabric/7522587-save-honey-bees-large-new-by-fernlesliestudio,0
991112,nursing-coordinates-by-bluevelvet,/en/fabric/991112-nursing-coordinates-by-bluevelvet,0
5514018,hair-cutting-shears-by-cloudycapevintage,/en/fabric/5514018-hair-cutting-shears-by-cloudycapevintage,0
7587085,heres-heart-navy-white-gold2-sketch-1-by-doodleandcharm_,/en/fabric/7587085-heres-heart-navy-white-gold2-sketch-1-by-doodleandcharm_,0
3817098,math-count-on-by-sammyk,/en/fabric/3817098-math-count-on-by-sammyk,0
8618597,rainbow-watercolor-pawprints-by-dragonstarart,/en/fabric/8618597-rainbow-watercolor-pawprints-by-dragonstarart,0
2330040,maryland-flags-by-elramsay,/en/fabric/2330040-maryland-flags-by-elramsay,0
6812243,cute-kawaii-sushi-small-size-by-penguinhouse,/en/fabric/6812243-cute-kawaii-sushi-small-size-by-penguinhouse,0
7944022,golden-girls-illustration-peach-by-yesterdaycollection,/en/fabric/7944022-golden-girls-illustration-peach-by-yesterdaycollection,0
