,id,slug,path,title,size,price,priceCurrency,priceValidUntil
28,4981816,black-white-dogs-by-littleislandcompany,/en/fabric/4981816-black-white-dogs-by-littleislandcompany,Black and White Dogs,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
29,2623792,purple-space-stars-small-print-by-inspirationz,/en/fabric/2623792-purple-space-stars-small-print-by-inspirationz,Purple Space Stars (small print),"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
30,5247883,hexo-blue-med-by-nouveau_bohemian,/en/fabric/5247883-hexo-blue-med-by-nouveau_bohemian,Hexo (blue) MED,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
31,7587209,8-woodland-trees-white-by-shopcabin,/en/fabric/7587209-8-woodland-trees-white-by-shopcabin,"8"" Woodland Trees - White","Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
32,5734850,dachshund-floral-vintage-flowers-doxie-fabric-doxie-dachshunds-design-cute-doxie-dog-by-petfriendly,/en/fabric/5734850-dachshund-floral-vintage-flowers-doxie-fabric-doxie-dachshunds-design-cute-doxie-dog-by-petfriendly,dachshund floral vintage flowers doxie fabric doxie dachshunds design cute doxie dog,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
33,7076547,small-scale-vintage-moroccan-dusty-blue-by-littlearrowdesign,/en/fabric/7076547-small-scale-vintage-moroccan-dusty-blue-by-littlearrowdesign,(small scale) vintage moroccan - dusty blue,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
34,7516450,asian-elephant-paisley-raindrops-by-honoluludesigns,/en/fabric/7516450-asian-elephant-paisley-raindrops-by-honoluludesigns,Asian Elephant Paisley Raindrops,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
35,7502677,fable-floral-blush-jumbo-by-nouveau_bohemian,/en/fabric/7502677-fable-floral-blush-jumbo-by-nouveau_bohemian,Fable Floral (blush) JUMBO,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
36,7772667,chibi-plague-doctors-black-on-white-by-ameliae,/en/fabric/7772667-chibi-plague-doctors-black-on-white-by-ameliae,Chibi Plague Doctors Black on White,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
37,6700493,mod-triangles-white-gold-by-crystal_walen,/en/fabric/6700493-mod-triangles-white-gold-by-crystal_walen,Mod Triangles - white + gold,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
38,1251898,maddox-ombre-stars-stripes-by-veritymaddox,/en/fabric/1251898-maddox-ombre-stars-stripes-by-veritymaddox,Maddox ombre stars and stripes,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
39,9612900,spring-pink-floral-highland-cow-big-54x36-inches-by-karolina_papiez,/en/fabric/9612900-spring-pink-floral-highland-cow-big-54x36-inches-by-karolina_papiez,spring pink floral highland cow - big 54x36 inches,"Fat Quarter 21"" x 18""",10.75,USD,2030-01-01
